year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5apxdc839917,ca,1.0,1.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,16950.0,1000.0,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
2013,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4du208401,ca,,59291.0,black,—,jimmy vasser toyota,12550.0,13800.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk2dr316831,ca,44.0,13948.0,beige,beige,toyota financial services,14950.0,14900.0,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2013,Nissan,Versa,1.6 S Plus,Sedan,manual,3n1cn7apxdl889033,ca,43.0,18366.0,gray,black,santander consumer,9300.0,9500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap3dl864636,ca,2.0,41426.0,gray,black,hertz/tra,9450.0,4000.0,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2013,Porsche,Panamera,Base,Sedan,automatic,wp0aa2a76dl011405,ca,41.0,33876.0,white,beige,high bid trading co inc,54000.0,58000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap1dl659882,ca,29.0,33219.0,white,black,jpmorgan chase bank n.a.,11200.0,10300.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk5du259552,ca,38.0,30392.0,black,black,jpmorgan chase bank n.a.,15200.0,15700.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Scion,FR-S,Base,Coupe,manual,jf1znaa14d1721434,ca,44.0,13325.0,gray,black,toyota financial services,18650.0,18700.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,FE+ SV,Sedan,automatic,3n1ab7ap0dl726200,ca,36.0,36247.0,black,black,avis corporation,11000.0,11400.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap6dc163500,ca,41.0,26640.0,white,black,nissan-infiniti lt,14150.0,15250.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,TDI SE,Sedan,automatic,1vwbn7a30dc124122,ca,32.0,14779.0,gray,black,wheels exchange llc,20400.0,20200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap8dl643520,ca,39.0,39904.0,white,black,merchants leasing,10350.0,10600.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Murano,SV,SUV,automatic,jn8az1mw6dw316475,ca,3.0,41841.0,gray,black,the hertz corporation,16900.0,16700.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap6dl699214,ca,39.0,50045.0,gray,black,jpmorgan chase bank n.a.,10150.0,10600.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Murano,SV,SUV,automatic,jn8az1mw6dw312782,ca,39.0,35138.0,white,beige,avis rac/san leandro,17600.0,20500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Boxster,Base,Convertible,automatic,wp0ca2a81ds112651,ca,37.0,21938.0,black,black,remarketing by ge/manheim riverside,41200.0,39500.0,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee2dp124615,ca,,42988.0,gray,gray,hertz/tra,10900.0,4000.0,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Toyota,Camry Hybrid,LE,Sedan,automatic,4t1bd1fk5du078747,ca,44.0,56455.0,gray,gray,ge fleet services for itself/servicer,15700.0,17750.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Yaris,LE,Hatchback,automatic,jtdktud35dd556959,ca,1.0,32808.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,10450.0,7300.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Versa,1.6 S Plus,Sedan,,3n1cn7ap1dl846815,ca,39.0,28311.0,—,black,nissan-infiniti lt,9275.0,9000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee3dp157851,ca,32.0,48376.0,gray,gray,toyota financial services/avis budget group-open,10750.0,11500.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee3dp161401,ca,33.0,41961.0,white,gray,toyota financial services/avis budget group-open,11100.0,11500.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap9dl680169,ca,39.0,43769.0,silver,black,merchants automotive group,10100.0,10900.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Tacoma,V6,Double Cab,automatic,3tmlu4en7dm117820,ca,43.0,36744.0,silver,gray,american road leasing inc,27200.0,26750.0,Wed Jan 07 2015 12:15:00 GMT-0800 (PST)
2013,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu4bf2dk154432,ca,,43352.0,green,—,california auto exchange,26300.0,26000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7apxdl888657,ca,42.0,29165.0,gray,black,fleet link services inc,9825.0,10200.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap2dl750921,ca,,23444.0,silver,black,palm springs nissan,12050.0,10800.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du9d5636594,ca,36.0,39968.0,black,gray,toyota financial services/avis budget group-open,15150.0,15800.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Versa,1.6 S Plus,Sedan,,3n1cn7ap0dl846434,ca,34.0,41790.0,silver,black,merchants leasing,9400.0,9300.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,3tmku4hn4dm037625,ca,34.0,11094.0,brown,gray,jpmorgan chase bank n.a.,24900.0,21000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,5tdkk3dc7ds334960,ca,35.0,40052.0,white,gray,avis corporation,18250.0,20400.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwfp7at4dm654698,ca,34.0,37618.0,white,black,avis corporation,11500.0,11900.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,L,Sedan,automatic,5yfbu4ee0dp204771,ca,2.0,35516.0,silver,gray,fox rent a car tra,11250.0,8200.0,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Nissan,Sentra,FE+ SV,Sedan,automatic,3n1ab7ap9dl679328,ca,33.0,42704.0,black,black,merchants automotive group,10750.0,10700.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Rogue,S,SUV,automatic,jn8as5mv2dw116535,ca,37.0,34651.0,white,gray,enterprise veh exchange/rental,14300.0,14900.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Volvo,S60,T5,Sedan,automatic,yv1612fs1d2225611,ca,37.0,27368.0,white,black,volvo car financial service/world omni,18550.0,19000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap5dl844212,ca,37.0,24984.0,silver,black,black/white auto sales,10200.0,9200.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Nissan,Murano,S,SUV,automatic,jn8az1mw6dw303046,ca,38.0,23629.0,white,beige,advantage rent a car/hertz,22800.0,18900.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Pathfinder,SV,SUV,automatic,5n1ar2mn1dc619184,ca,45.0,19742.0,white,black,nissan-infiniti lt,21400.0,22500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a3xdc068443,ca,36.0,39556.0,silver,black,avis corporation,13250.0,12000.0,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2013,Nissan,Murano,SL,SUV,automatic,jn8az1mu6dw209263,ca,44.0,14805.0,gray,black,nissan motor acceptance corporation,24100.0,25250.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Quest,SV,Minivan,,jn8ae2kp7d9060276,ca,41.0,27948.0,gray,gray,nissan north america inc.,22300.0,20750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Camry,L,Sedan,automatic,4t1bf1fk4du283826,ca,2.0,31300.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,13350.0,11200.0,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap7dc829796,ca,44.0,14421.0,white,tan,nissan motor acceptance corporation,21300.0,20000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c51cc964387,ca,38.0,23208.0,gray,black,financial services remarketing (lease),47200.0,46000.0,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750i,xdr 750i xdriv,,automatic,wbakc6c5xcc395623,ca,4.0,50790.0,gray,black,financial services remarketing (lease),33900.0,33500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c5xcdl71530,ca,38.0,28925.0,white,black,financial services remarketing (lease),48500.0,50500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f43cc007761,ca,39.0,43127.0,black,black,ahfc/honda lease trust/hvt  inc. eot,16450.0,17800.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,,wbalz3c59cdl71275,ca,46.0,16381.0,gray,black,financial services remarketing (lease),48200.0,46500.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c53cc964410,ca,33.0,19785.0,beige,gray,financial services remarketing (lease),49500.0,46000.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Audi,A6,3.0T Premium quattro,Sedan,automatic,wauggafc1cn055417,ca,35.0,36541.0,—,beige,high bid trading co inc,29800.0,29000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Coupe,automatic,wbalx3c59cdv77170,ca,47.0,34941.0,black,black,financial services remarketing (lease),42600.0,42500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c54cdx02704,ca,47.0,45443.0,black,gray,financial services remarketing (lease),29500.0,30500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl73048,ca,48.0,20904.0,gray,black,financial services remarketing (lease),50100.0,49000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c55cdx04560,ca,5.0,54744.0,black,black,financial services remarketing (lease),27600.0,29250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Coupe,automatic,wbalx3c52cc528799,ca,36.0,24452.0,white,brown,l m auto wholesale,44800.0,44000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c54cc613856,ca,47.0,17189.0,black,—,financial services remarketing (lease),40100.0,25000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c51cds99089,ca,43.0,35818.0,black,black,financial services remarketing (lease),35600.0,35250.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335is,Convertible,automatic,wbadx1c56ce570700,ca,38.0,14149.0,black,black,financial services remarketing (lease),39900.0,40500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c5xce729000,ca,31.0,27675.0,blue,gray,financial services remarketing (lease),28200.0,25750.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c5xcdl70913,ca,36.0,24132.0,black,—,financial services remarketing (lease),49700.0,49500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,135i,Coupe,automatic,wbauc9c56cvm12464,ca,41.0,16288.0,blue,—,financial services remarketing (lease),26900.0,27500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Coupe,automatic,wbalw3c56cc891870,ca,44.0,39628.0,black,black,financial services remarketing (lease),42200.0,42000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f23ca002640,ca,41.0,28395.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,19200.0,20200.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
